category,uid,historical_class,pre_residual_current_class,post_residual_current_class,post_residual_best_fg_ratio,post_residual_best_bbox_area_ratio,post_residual_best_max_dim,post_residual_view_classes,asset_dir,usd_path
plate,3a2821ef33b98eff27dc9cdb40e94859,suspicious,suspicious,suspicious,0.089470,0.115185,213,blank;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plate/3a2821ef33b98eff27dc9cdb40e94859,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plate/3a2821ef33b98eff27dc9cdb40e94859/usd/3a2821ef33b98eff27dc9cdb40e94859.usd
plate,6d870adb2ef2098d957e04a95e86ebef,suspicious,suspicious,suspicious,0.200123,0.254860,262,tiny;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plate/6d870adb2ef2098d957e04a95e86ebef,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plate/6d870adb2ef2098d957e04a95e86ebef/usd/6d870adb2ef2098d957e04a95e86ebef.usd
plate,76215d6357009fcb926cc0f7f9cf5726,suspicious,suspicious,suspicious,0.098480,0.126892,252,blank;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plate/76215d6357009fcb926cc0f7f9cf5726,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plate/76215d6357009fcb926cc0f7f9cf5726/usd/76215d6357009fcb926cc0f7f9cf5726.usd
plate,79421ccf775763345a5b0056f23ecb43,suspicious,suspicious,suspicious,0.095081,0.114815,202,blank;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plate/79421ccf775763345a5b0056f23ecb43,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plate/79421ccf775763345a5b0056f23ecb43/usd/79421ccf775763345a5b0056f23ecb43.usd
plate,d75c9ef6ed93b777f945c27e70a91ed3,suspicious,suspicious,suspicious,0.101997,0.129730,230,ok;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plate/d75c9ef6ed93b777f945c27e70a91ed3,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plate/d75c9ef6ed93b777f945c27e70a91ed3/usd/d75c9ef6ed93b777f945c27e70a91ed3.usd
shelf,00885608b8b4da4af6b1929c2dff5e62,suspicious,suspicious,suspicious,0.119171,0.143738,240,ok;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/shelf/00885608b8b4da4af6b1929c2dff5e62,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/shelf/00885608b8b4da4af6b1929c2dff5e62/usd/00885608b8b4da4af6b1929c2dff5e62.usd
shelf,12b876c3949b0feee6b7cde6593a220d,suspicious,suspicious,suspicious,0.061104,0.116520,205,ok;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/shelf/12b876c3949b0feee6b7cde6593a220d,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/shelf/12b876c3949b0feee6b7cde6593a220d/usd/12b876c3949b0feee6b7cde6593a220d.usd
shelf,5bd065e4b72ca0a5acfbc18c9b61e6ea,suspicious,suspicious,suspicious,0.115276,0.137466,234,ok;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/shelf/5bd065e4b72ca0a5acfbc18c9b61e6ea,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/shelf/5bd065e4b72ca0a5acfbc18c9b61e6ea/usd/5bd065e4b72ca0a5acfbc18c9b61e6ea.usd
shelf,6b21424e84bba4cc3aae6072b7fd0954,suspicious,suspicious,suspicious,0.054882,0.096130,180,ok;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/shelf/6b21424e84bba4cc3aae6072b7fd0954,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/shelf/6b21424e84bba4cc3aae6072b7fd0954/usd/6b21424e84bba4cc3aae6072b7fd0954.usd
shelf,7f071217a0b04b23635a5acb88793b46,suspicious,suspicious,suspicious,0.021259,0.029297,512,blank;tiny;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/shelf/7f071217a0b04b23635a5acb88793b46,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/shelf/7f071217a0b04b23635a5acb88793b46/usd/7f071217a0b04b23635a5acb88793b46.usd
