label,category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,touches_edge,path
baseline84,cabinet,fec9c1b32f7a49927df3104e714643c5,front,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/fec9c1b32f7a49927df3104e714643c5/front.png
baseline84,cabinet,fec9c1b32f7a49927df3104e714643c5,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/fec9c1b32f7a49927df3104e714643c5/left.png
baseline84,cabinet,fec9c1b32f7a49927df3104e714643c5,back,tiny,0.005974,36,48,0.006592,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/fec9c1b32f7a49927df3104e714643c5/back.png
baseline84,cabinet,fec9c1b32f7a49927df3104e714643c5,right,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/fec9c1b32f7a49927df3104e714643c5/right.png
baseline84,door,1f614c5e84cf7ab87a1fc0d1bcf00f40,front,tiny,0.010433,63,67,0.016102,True,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/1f614c5e84cf7ab87a1fc0d1bcf00f40/front.png
baseline84,door,1f614c5e84cf7ab87a1fc0d1bcf00f40,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/1f614c5e84cf7ab87a1fc0d1bcf00f40/left.png
baseline84,door,1f614c5e84cf7ab87a1fc0d1bcf00f40,back,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/1f614c5e84cf7ab87a1fc0d1bcf00f40/back.png
baseline84,door,1f614c5e84cf7ab87a1fc0d1bcf00f40,right,tiny,0.013672,74,70,0.019760,True,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/1f614c5e84cf7ab87a1fc0d1bcf00f40/right.png
baseline84,door,6afa6a3493e29ed1635708a62356a344,front,tiny,0.009514,67,49,0.012524,True,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/6afa6a3493e29ed1635708a62356a344/front.png
baseline84,door,6afa6a3493e29ed1635708a62356a344,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/6afa6a3493e29ed1635708a62356a344/left.png
baseline84,door,6afa6a3493e29ed1635708a62356a344,back,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/6afa6a3493e29ed1635708a62356a344/back.png
baseline84,door,6afa6a3493e29ed1635708a62356a344,right,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/6afa6a3493e29ed1635708a62356a344/right.png
baseline84,door,6bd5f918180b6daea2ccb7ffab245661,front,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/6bd5f918180b6daea2ccb7ffab245661/front.png
baseline84,door,6bd5f918180b6daea2ccb7ffab245661,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/6bd5f918180b6daea2ccb7ffab245661/left.png
baseline84,door,6bd5f918180b6daea2ccb7ffab245661,back,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/6bd5f918180b6daea2ccb7ffab245661/back.png
baseline84,door,6bd5f918180b6daea2ccb7ffab245661,right,tiny,0.007637,66,46,0.011581,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/6bd5f918180b6daea2ccb7ffab245661/right.png
baseline84,door,7b46af01a13e3ca1723c1574556af337,front,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/7b46af01a13e3ca1723c1574556af337/front.png
baseline84,door,7b46af01a13e3ca1723c1574556af337,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/7b46af01a13e3ca1723c1574556af337/left.png
baseline84,door,7b46af01a13e3ca1723c1574556af337,back,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/7b46af01a13e3ca1723c1574556af337/back.png
baseline84,door,7b46af01a13e3ca1723c1574556af337,right,tiny,0.008480,77,39,0.011456,True,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/7b46af01a13e3ca1723c1574556af337/right.png
baseline84,door,b16b5205214f15c42aed50b3a329326e,front,tiny,0.002148,22,75,0.006294,True,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/b16b5205214f15c42aed50b3a329326e/front.png
baseline84,door,b16b5205214f15c42aed50b3a329326e,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/b16b5205214f15c42aed50b3a329326e/left.png
baseline84,door,b16b5205214f15c42aed50b3a329326e,back,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/b16b5205214f15c42aed50b3a329326e/back.png
baseline84,door,b16b5205214f15c42aed50b3a329326e,right,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/door/b16b5205214f15c42aed50b3a329326e/right.png
